Date,Item_Name,Brand_Name,Size_edit,Size,Order_Quantity
3/30/2022,Eyestay Zenchill XXII #59701-ET,,N,5-6,25
3/30/2022,Eyestay Zenchill XXII #59701-ET,,N,5-6,25
3/30/2022,Eyestay Zenchill XXII #59701-ET,,Q,8-9,25
3/30/2022,Eyestay Zenchill XXII #59701-ET,,N,5-6,25
3/30/2022,Eyestay Zenchill XXII #59701-ET,,Q,8-9,50
3/30/2022,Heel Counter 05091,Adidas,A,No.4(9.5-11),5
3/30/2022,Heel Counter 05091,Adidas,A,No.3(7.5-9),5
3/30/2022,Heel Counter 08502,Adidas,A,No.1(3.5-6.5),5
3/30/2022,NB CR M/W574,NB,V,M:4-8.5/W:5.5-10,7
3/30/2022,NB CR M/W574,NB,V,M:9-11.5/W:10.5-13,1
3/30/2022,NB CR M/W574,NB,V,M:12-18/W:13.5-19,1
3/30/2022,NB CR M/W574,NB,V,M:4-8.5/W:5.5-10,1
3/30/2022,Outsole AB80v1,NB,D,10-10.5,3
3/30/2022,Outsole Future FG-AG #FB1118,Puma,O,6,10
3/30/2022,Outsole Future MG Jr #FB1096,Puma,L,3-3.5,30
3/30/2022,Outsole FW20 Puma Future 2.0 #FB1064,Puma,D,10,2
3/30/2022,Outsole FW20 Puma Future 2.0 #FB1064,Puma,Q,8,2
3/30/2022,Outsole FW20 Puma Future 2.0 #FB1064,Puma,G,13,2
3/30/2022,Outsole FW20 Puma Future 2.0 #FB1064,Puma,O,6,2
3/30/2022,Outsole Ultra FG #FB1106 P4,Puma,Q,8-8.5,5
3/30/2022,Plate Velosamba #AD-45015,Adidas,Q,8.5-9,40
3/30/2022,Shank BB2WXYV3,NB,R,9.5-12,13
3/30/2022,TPU BB2WXYV3,NB,F,12.5-13.5,13
3/30/2022,TPU Lateral & Medial #BBKLV3,NB,E,11.5-13,10
3/30/2022,TPU Lateral & Medial #BBKLV3,NB,G,13.5-15,10
3/29/2022,Heel Counter 05091,Adidas,A,No.4(9.5-11),5
3/29/2022,Heel Counter 05091,Adidas,A,No.3(7.5-9),5
3/29/2022,Heel Counter 08502,Adidas,A,No.1(3.5-6.5),5
3/29/2022,Heel counter 19449,Adidas,A,No.2(6.5-9),10
3/29/2022,Heel counter 19449,Adidas,A,No.1(3.5-6),10
3/29/2022,Heel Counter 2126,Adidas,A,No.3(8-10),10
3/29/2022,Heel Counter 2126,Adidas,A,No.2(5.5-7.5),10
3/29/2022,Heel Counter 2135,Adidas,A,No.3(8-10),10
3/29/2022,Heel Counter 2135,Adidas,A,No.2(5.5-7.5),10
3/29/2022,Heel Counter TS030,Puma,A,No.4(7.5-8.5),50
3/29/2022,Outsole #FB1079,Puma,Q,8,10
